x	y	theta	v	delta	a	delta_dot
4.9999999999987965	2.6626300185943617	1.5707963267964626	0.3001558606249439	-2.994607505551837e-13	-0.003475960026025414	2.171632187913026e-13
4.9999999999987805	2.672633537839849	1.570796326796436	0.30005529410563186	-2.9212840979681696e-13	-0.003016995579369612	2.1997022275147853e-13
4.9999999999987645	2.6826339330856186	1.57079632679641	0.2999684206419114	-2.8498430934837646e-13	-0.00260620391162	2.1432301345372555e-13
4.999999999998749	2.6926316364191356	1.5707963267963847	0.29989377937058753	-2.777103048632496e-13	-0.002239238139721482	2.1822013455433038e-13
4.999999999998733	2.702627033556335	1.57079632679636	0.29983004886295894	-2.708844501091836e-13	-0.001911915228862582	2.0477564262254447e-13
4.999999999998717	2.7126204683989905	1.570796326796336	0.2997760416980307	-2.6407315687647396e-13	-0.0016202149478528837	2.0433879698184474e-13
4.999999999998702	2.722612247413489	1.5707963267963128	0.2997306991735587	-2.5718179789029306e-13	-0.0013602757341644005	2.06740769586011e-13
4.999999999998688	2.732602643837067	1.5707963267962894	0.2996930862429181	-2.5048582143673684e-13	-0.0011283879192241393	2.0087929360730881e-13
4.999999999998674	2.7425919017202904	1.5707963267962668	0.29966238675239226	-2.4399235936489986e-13	-0.0009209847157810538	1.9480386215574256e-13
4.99999999999866	2.752580239816823	1.5707963267962448	0.2996378990415569	-2.377848676595308e-13	-0.0007346313250630263	1.862247511617147e-13
4.9999999999986455	2.76256785533346	1.5707963267962235	0.2996190319587683	-2.31621641839464e-13	-0.0005660124836617632	1.8489677460264983e-13
4.999999999998632	2.7725549275549732	1.5707963267962026	0.29960530133420915	-2.2600922542467878e-13	-0.00041191873677622894	1.6837249244422451e-13
4.99999999999862	2.7825416213595795	1.5707963267961824	0.29959632694444643	-2.2035269771643343e-13	-0.0002692316928822059	1.6969583124800169e-13
4.999999999998607	2.792528090641857	1.5707963267961629	0.29959182999461903	-2.1506042768700624e-13	-0.00013490849482501944	1.5876810088349198e-13
4.999999999998595	2.8025144816606797	1.5707963267961433	0.2995916311372269	-2.1010405633861675e-13	-5.9657217635583995e-06	1.4869114045234922e-13
4.9999999999985825	2.8125009363302587	1.5707963267961245	0.2995956490401405	-2.0513220347203825e-13	0.00012053708740745702	1.491555859980058e-13
4.99999999999857	2.822487595472714	1.5707963267961063	0.2996038995099219	-2.0034075789135475e-13	0.0002475140934416588	1.4374336742118756e-13
4.999999999998558	2.8324746020506812	1.570796326796088	0.2996164951709529	-1.9572437453194431e-13	0.00037786983093164795	1.384915007830012e-13
4.999999999998546	2.8424621043983938	1.5707963267960705	0.29963364569475504	-1.9153467910967092e-13	0.0005145157140659506	1.2569086266889223e-13
4.999999999998535	2.8524502594693906	1.5707963267960536	0.2996556585681722	-1.8750508397955768e-13	0.0006603862025209053	1.2088785390404818e-13
4.999999999998525	2.862439236118524	1.5707963267960368	0.2996829403830437	-1.836798514480278e-13	0.0008184544461468852	1.1475697594654928e-13
4.999999999998514	2.872429218435247	1.5707963267960203	0.2997159986237187	-1.7998242096601529e-13	0.0009917472202545178	1.1092291446101897e-13
4.999999999998503	2.882420409144284	1.570796326796004	0.2997554439219644	-1.7650490495138062e-13	0.0011833589473732955	1.043254804396843e-13
4.999999999998493	2.892413033088617	1.5707963267959881	0.29980199274167224	-1.7312225716682047e-13	0.0013964645912427549	1.0147943353743251e-13
4.999999999998482	2.902407340808377	1.5707963267959724	0.2998564704476229	-1.697540211531007e-13	0.0016343311785284728	1.0104708041222243e-13
4.9999999999984714	2.9124036122275063	1.570796326795957	0.29991981470399487	-1.6665014738903097e-13	0.0019003276911672656	9.311621292273836e-14
4.999999999998461	2.922402160458145	1.570796326795942	0.2999930791382582	-1.6338761152596762e-13	0.00219793302791236	9.787607589251136e-14
4.99999999999845	2.932403335730303	1.570796326795927	0.3000774371952799	-1.6037940547765865e-13	0.002530741710667533	9.024618144993085e-14
